"Products","year","Rank","Sales"
"ABILIFY ",2008,NA,3500
"ABILIFY ",2009,NA,4700
"ABILIFY ",2010,NA,5500
"ABILIFY ",2011,NA,6300
"ABILIFY ",2012,NA,6879
"ABILIFY ",2013,NA,7824
"ABILIFY ",2014,4,9285
"AVASTIN ",2008,NA,3900
"AVASTIN ",2009,NA,4900
"AVASTIN ",2010,NA,5600
"AVASTIN ",2011,NA,5200
"AVASTIN ",2012,NA,5364
"AVASTIN ",2013,NA,5793
"AVASTIN ",2014,11,6070
"COPAXONE ",2008,NA,2000
"COPAXONE ",2009,NA,2500
"COPAXONE ",2010,NA,3200
"COPAXONE ",2011,NA,4000
"COPAXONE ",2012,NA,4432
"COPAXONE ",2013,NA,4691
"COPAXONE ",2014,16,4788
"CRESTOR ",2008,NA,4000
"CRESTOR ",2009,NA,5500
"CRESTOR ",2010,NA,7100
"CRESTOR ",2011,NA,8100
"CRESTOR ",2012,NA,8215
"CRESTOR ",2013,NA,8140
"CRESTOR ",2014,7,8473
"ENBREL ",2008,NA,5400
"ENBREL ",2009,NA,5800
"ENBREL ",2010,NA,6400
"ENBREL ",2011,NA,6800
"ENBREL ",2012,NA,7370
"ENBREL ",2013,NA,7918
"ENBREL ",2014,5,8707
"HERCEPTIN ",2008,NA,3600
"HERCEPTIN ",2009,NA,3900
"HERCEPTIN ",2010,NA,4300
"HERCEPTIN ",2011,NA,4600
"HERCEPTIN ",2012,NA,5024
"HERCEPTIN ",2013,NA,5261
"HERCEPTIN ",2014,13,5564
"HUMIRA ",2008,NA,3700
"HUMIRA ",2009,NA,4900
"HUMIRA ",2010,NA,6000
"HUMIRA ",2011,NA,7100
"HUMIRA ",2012,NA,8318
"HUMIRA ",2013,NA,9784
"HUMIRA ",2014,1,11844
"JANUVIA ",2008,NA,NA
"JANUVIA ",2009,NA,NA
"JANUVIA ",2010,NA,NA
"JANUVIA ",2011,NA,NA
"JANUVIA ",2012,NA,4181
"JANUVIA ",2013,NA,4457
"JANUVIA ",2014,15,4991
"LANTUS ",2008,NA,3300
"LANTUS ",2009,NA,4000
"LANTUS ",2010,NA,4800
"LANTUS ",2011,NA,5500
"LANTUS ",2012,NA,6472
"LANTUS ",2013,NA,8014
"LANTUS ",2014,2,10331
"LUCENTIS ",2008,NA,NA
"LUCENTIS ",2009,NA,NA
"LUCENTIS ",2010,NA,NA
"LUCENTIS ",2011,NA,NA
"LUCENTIS ",2012,NA,4135
"LUCENTIS ",2013,NA,4382
"LUCENTIS ",2014,20,4437
"LYRICA ",2008,NA,2500
"LYRICA ",2009,NA,2900
"LYRICA ",2010,NA,3300
"LYRICA ",2011,NA,4000
"LYRICA ",2012,NA,4531
"LYRICA ",2013,NA,5107
"LYRICA ",2014,12,6002
"MABTHERA ",2008,NA,4300
"MABTHERA ",2009,NA,4700
"MABTHERA ",2010,NA,5100
"MABTHERA ",2011,NA,5500
"MABTHERA ",2012,NA,5950
"MABTHERA ",2013,NA,6363
"MABTHERA ",2014,10,6552
"NEULASTA ",2008,NA,3600
"NEULASTA ",2009,NA,3700
"NEULASTA ",2010,NA,3800
"NEULASTA ",2011,NA,4200
"NEULASTA ",2012,NA,4253
"NEULASTA ",2013,NA,4397
"NEULASTA ",2014,18,4627
"NEXIUM ",2008,NA,7700
"NEXIUM ",2009,NA,8300
"NEXIUM ",2010,NA,8600
"NEXIUM ",2011,NA,8100
"NEXIUM ",2012,NA,7407
"NEXIUM ",2013,NA,7867
"NEXIUM ",2014,9,7681
"NOVORAPID ",2008,NA,NA
"NOVORAPID ",2009,NA,NA
"NOVORAPID ",2010,NA,NA
"NOVORAPID ",2011,NA,NA
"NOVORAPID ",2012,NA,NA
"NOVORAPID ",2013,NA,4071
"NOVORAPID ",2014,17,4718
"REMICADE ",2008,NA,4900
"REMICADE ",2009,NA,5500
"REMICADE ",2010,NA,6100
"REMICADE ",2011,NA,6600
"REMICADE ",2012,NA,7259
"REMICADE ",2013,NA,7648
"REMICADE ",2014,8,8097
"SERETIDE ",2008,NA,7500
"SERETIDE ",2009,NA,8200
"SERETIDE ",2010,NA,8700
"SERETIDE ",2011,NA,8800
"SERETIDE ",2012,NA,8907
"SERETIDE ",2013,NA,9198
"SERETIDE ",2014,6,8652
"SOVALDI ",2008,NA,NA
"SOVALDI ",2009,NA,NA
"SOVALDI ",2010,NA,NA
"SOVALDI ",2011,NA,NA
"SOVALDI ",2012,NA,NA
"SOVALDI ",2013,NA,70
"SOVALDI ",2014,3,9375
"SPIRIVA ",2008,NA,3000
"SPIRIVA ",2009,NA,3500
"SPIRIVA ",2010,NA,4100
"SPIRIVA ",2011,NA,4600
"SPIRIVA ",2012,NA,4998
"SPIRIVA ",2013,NA,5283
"SPIRIVA ",2014,14,5483
"SYMBICORT ",2008,NA,NA
"SYMBICORT ",2009,NA,NA
"SYMBICORT ",2010,NA,NA
"SYMBICORT ",2011,NA,NA
"SYMBICORT ",2012,NA,NA
"SYMBICORT ",2013,NA,3885
"SYMBICORT ",2014,19,4535
"ATRIPLA ",2008,NA,NA
"ATRIPLA ",2009,NA,NA
"ATRIPLA ",2010,NA,NA
"ATRIPLA ",2011,NA,NA
"ATRIPLA ",2012,NA,3924
"ATRIPLA ",2013,NA,4017
"ATRIPLA ",2014,NA,NA
"CYMBALTA ",2008,NA,2800
"CYMBALTA ",2009,NA,3300
"CYMBALTA ",2010,NA,4000
"CYMBALTA ",2011,NA,4700
"CYMBALTA ",2012,NA,5734
"CYMBALTA ",2013,NA,6464
"CYMBALTA ",2014,NA,NA
"GLIVEC ",2008,NA,3100
"GLIVEC ",2009,NA,3500
"GLIVEC ",2010,NA,3800
"GLIVEC ",2011,NA,4100
"GLIVEC ",2012,NA,4149
"GLIVEC ",2013,NA,4136
"GLIVEC ",2014,NA,NA
"PLAVIX ",2008,NA,8400
"PLAVIX ",2009,NA,9200
"PLAVIX ",2010,NA,9100
"PLAVIX ",2011,NA,9500
"PLAVIX ",2012,NA,5200
"PLAVIX ",2013,NA,NA
"PLAVIX ",2014,NA,NA
"LIPITOR ",2008,NA,13700
"LIPITOR ",2009,NA,13700
"LIPITOR ",2010,NA,13200
"LIPITOR ",2011,NA,12900
"LIPITOR ",2012,NA,5100
"LIPITOR ",2013,NA,NA
"LIPITOR ",2014,NA,NA
"SINGULAIR ",2008,NA,4600
"SINGULAIR ",2009,NA,5000
"SINGULAIR ",2010,NA,5600
"SINGULAIR ",2011,NA,6200
"SINGULAIR ",2012,NA,4700
"SINGULAIR ",2013,NA,NA
"SINGULAIR ",2014,NA,NA
